trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,4,4,2.31,3.58,1,1,4
2,1,4,1,2.59,3.52,1,1,4
3,1,4,3,2.15,3.26,2,2,4
4,1,3,2,4.21,5.65,2,2,3
5,2,4,3,2.41,3.28,2,1,4
6,1,4,1,9.61,10.84,1,1,4
7,2,3,3,7.25,8.19,1,2,3
8,1,4,4,4.57,5.53,1,1,4
9,1,4,3,5.14,5.92,2,2,4
10,1,3,4,6.96,7.77,2,2,3
11,2,4,2,2.64,3.6,1,2,4
12,1,4,4,2.08,2.78,1,1,4
13,1,3,1,2.58,3.44,1,1,3
14,1,4,,4.38,,4,2,4
15,1,4,3,3.08,3.9,2,2,4
16,1,3,4,2.7,3.42,2,2,3
17,1,4,4,3.68,4.47,1,1,4
18,1,4,3,6.14,6.94,2,2,4
19,2,3,3,4.26,5.08,1,2,3
20,2,4,2,6.84,7.83,1,2,4
21,2,3,3,2.3,3.08,1,2,3
22,1,4,3,3.48,4.34,2,2,4
23,1,4,4,2.13,2.97,1,1,4
24,1,4,,,,3,2,4
25,2,3,3,3.14,3.86,1,2,3
26,1,3,4,4.23,5.08,2,2,3
27,1,3,1,3.44,4.36,1,1,3
28,2,3,3,6.05,6.86,1,2,3
29,2,4,4,3.66,4.45,1,2,4
30,2,3,1,10.01,10.82,2,1,3
31,2,4,4,6.39,7.21,1,2,4
32,2,4,3,4.43,5.22,2,1,4
33,2,3,2,7.1,7.92,1,2,3
34,1,3,4,2.55,3.33,2,2,3
35,1,4,4,2.88,3.65,1,1,4
36,1,4,4,3.44,4.19,1,1,4
37,1,3,1,9.06,10.01,1,1,3
38,1,4,3,5.1,5.85,2,2,4
39,1,3,4,2.88,3.58,2,2,3
40,2,4,4,4.56,5.63,1,2,4
41,1,3,3,4.28,5.05,1,1,3
42,1,4,3,3.2,3.94,2,2,4
43,2,4,2,3.17,4.02,1,2,4
44,1,4,4,3.35,4.06,1,1,4
45,1,4,4,4.39,6.9,1,1,4
46,2,4,3,4.91,5.78,2,1,4
47,1,3,4,2.36,3.1,2,2,3
48,2,4,4,3.49,4.19,1,2,4
49,2,3,,,,3,1,3
50,1,4,3,4.4,5.08,2,2,4
51,1,4,3,3.07,3.83,2,2,4
52,1,3,4,3,3.74,2,2,3
53,2,4,4,2.41,3.14,1,2,4
54,1,4,1,2.72,3.49,1,1,4
55,2,4,4,2.99,3.84,1,2,4
56,1,4,1,4.3,5.12,1,1,4
57,1,4,4,2.1,2.8,1,1,4
58,1,4,3,3.54,4.31,2,2,4
59,2,3,,,,3,1,3
60,2,4,4,3.36,4.49,1,2,4
61,1,3,2,3.39,4.2,2,2,3
62,2,4,1,6.7,7.51,2,1,4
63,2,4,3,2.44,3.18,2,1,4
64,2,3,3,4.24,4.95,1,2,3
65,2,4,4,2.99,3.86,1,2,4
66,1,4,4,2.54,3.27,1,1,4
67,2,4,4,2.36,3.09,1,2,4
68,1,4,4,2.39,3.12,1,1,4
69,1,4,4,2.47,3.26,1,1,4
70,2,4,4,2.28,3.15,1,2,4
71,1,3,4,3.19,3.91,2,2,3
72,1,4,3,3.67,4.43,2,2,4
73,1,4,3,2.49,3.25,2,2,4
74,1,4,2,4.67,5.43,2,2,4
75,2,3,1,9.22,10.05,2,1,3
76,1,3,1,4.17,11.81,1,1,3
77,1,3,2,5.37,6.15,2,2,3
78,1,3,4,2.62,3.44,2,2,3
79,2,4,4,3.72,4.47,1,2,4
80,2,4,4,4.66,5.5,1,2,4
81,1,4,4,4.05,4.68,1,1,4
82,2,4,,,,3,1,4
83,1,3,4,4.54,5.2,2,2,3
84,2,4,4,4.43,5.05,1,2,4
85,2,4,3,2.53,3.32,2,1,4
